sample	locus_position	method_id	key	value	type
17T001264_S22	chr13:31722592-31722713	model	status	MSS	str
17T010209-1_S25	chr4:55598140-55598290	model	status	MSS	str
17T010209-1_S25	chr2:47641506-47641642	model	status	MSS	str
17T010209-1_S25	chr14:23652277-23652420	model	status	MSS	str
17T010209-1_S25	chr11:125490715-125490852	model	status	MSS	str
17T010209-1_S25	chr11:102193451-102193586	model	status	MSS	str
17T010209-1_S25	chr13:31722592-31722713	model	status	MSS	str
17T010209-1_S28	chr4:55598140-55598290	model	status	MSS	str
17T010209-1_S28	chr2:47641506-47641642	model	status	MSS	str
17T010209-1_S28	chr14:23652277-23652420	model	status	MSS	str
17T010209-1_S28	chr11:125490715-125490852	model	status	MSS	str
17T010209-1_S28	chr11:102193451-102193586	model	status	MSS	str
17T010209-1_S28	chr13:31722592-31722713	model	status	MSS	str
17T010773_S37	chr4:55598140-55598290	model	status	MSS	str
17T010773_S37	chr2:47641506-47641642	model	status	MSS	str
17T010773_S37	chr14:23652277-23652420	model	status	MSS	str
17T010773_S37	chr11:125490715-125490852	model	status	MSS	str
17T010773_S37	chr11:102193451-102193586	model	status	MSS	str
17T010773_S37	chr13:31722592-31722713	model	status	MSS	str
17T010773_S40	chr4:55598140-55598290	model	status	MSS	str
17T010773_S40	chr2:47641506-47641642	model	status	MSS	str
17T010773_S40	chr14:23652277-23652420	model	status	MSS	str
17T010773_S40	chr11:125490715-125490852	model	status	MSS	str
17T010773_S40	chr11:102193451-102193586	model	status	MSS	str
17T010773_S40	chr13:31722592-31722713	model	status	MSS	str
17T012018_S43	chr4:55598140-55598290	model	status	MSS	str
17T012018_S43	chr2:47641506-47641642	model	status	MSS	str
17T012018_S43	chr14:23652277-23652420	model	status	MSS	str
17T012018_S43	chr11:125490715-125490852	model	status	MSS	str
17T012018_S43	chr11:102193451-102193586	model	status	MSS	str
17T012018_S43	chr13:31722592-31722713	model	status	MSS	str
17T012018_S45	chr4:55598140-55598290	model	status	MSS	str
17T012018_S45	chr2:47641506-47641642	model	status	MSS	str
17T012018_S45	chr14:23652277-23652420	model	status	MSS	str
17T012018_S45	chr11:125490715-125490852	model	status	MSS	str
17T012018_S45	chr11:102193451-102193586	model	status	MSS	str
17T012018_S45	chr13:31722592-31722713	model	status	MSS	str
17T029922_S2	chr4:55598140-55598290	model	status	MSS	str
17T029922_S2	chr2:47641506-47641642	model	status	MSS	str
17T029922_S2	chr14:23652277-23652420	model	status	MSS	str
17T029922_S2	chr11:125490715-125490852	model	status	MSS	str
17T029922_S2	chr11:102193451-102193586	model	status	MSS	str
17T029922_S2	chr13:31722592-31722713	model	status	MSS	str
17T029922_S5	chr4:55598140-55598290	model	status	MSS	str
17T029922_S5	chr2:47641506-47641642	model	status	MSS	str
17T029922_S5	chr14:23652277-23652420	model	status	MSS	str
17T029922_S5	chr11:125490715-125490852	model	status	MSS	str
17T029922_S5	chr11:102193451-102193586	model	status	MSS	str
17T029922_S5	chr13:31722592-31722713	model	status	MSS	str
17T045411_S14	chr4:55598140-55598290	model	status	MSS	str
17T045411_S14	chr2:47641506-47641642	model	status	MSS	str
17T045411_S14	chr14:23652277-23652420	model	status	MSS	str
17T045411_S14	chr11:125490715-125490852	model	status	MSS	str
17T045411_S14	chr11:102193451-102193586	model	status	MSS	str
17T045411_S14	chr13:31722592-31722713	model	status	MSS	str
17T045411_S17	chr4:55598140-55598290	model	status	MSS	str
17T045411_S17	chr2:47641506-47641642	model	status	MSS	str
17T045411_S17	chr14:23652277-23652420	model	status	MSS	str
17T045411_S17	chr11:125490715-125490852	model	status	MSS	str
17T045411_S17	chr11:102193451-102193586	model	status	MSS	str
17T045411_S17	chr13:31722592-31722713	model	status	MSS	str
17T050530_S20	chr4:55598140-55598290	model	status	MSS	str
17T050530_S20	chr2:47641506-47641642	model	status	MSS	str
17T050530_S20	chr14:23652277-23652420	model	status	MSS	str
17T050530_S20	chr11:125490715-125490852	model	status	MSS	str
17T050530_S20	chr11:102193451-102193586	model	status	MSS	str
17T050530_S20	chr13:31722592-31722713	model	status	MSS	str
17T050530_S23	chr4:55598140-55598290	model	status	MSS	str
17T050530_S23	chr2:47641506-47641642	model	status	MSS	str
17T050530_S23	chr14:23652277-23652420	model	status	MSS	str
17T050530_S23	chr11:125490715-125490852	model	status	MSS	str
17T050530_S23	chr11:102193451-102193586	model	status	MSS	str
17T050530_S23	chr13:31722592-31722713	model	status	MSS	str
17T051547_S26	chr4:55598140-55598290	model	status	MSS	str
17T051547_S26	chr2:47641506-47641642	model	status	MSS	str
17T051547_S26	chr14:23652277-23652420	model	status	MSS	str
17T051547_S26	chr11:125490715-125490852	model	status	MSS	str
17T051547_S26	chr11:102193451-102193586	model	status	MSS	str
17T051547_S26	chr13:31722592-31722713	model	status	MSS	str
17T051547_S29	chr4:55598140-55598290	model	status	MSS	str
17T051547_S29	chr2:47641506-47641642	model	status	MSS	str
17T051547_S29	chr14:23652277-23652420	model	status	MSS	str
17T051547_S29	chr11:125490715-125490852	model	status	MSS	str
17T051547_S29	chr11:102193451-102193586	model	status	MSS	str
17T051547_S29	chr13:31722592-31722713	model	status	MSS	str
18T005032_S32	chr4:55598140-55598290	model	status	MSS	str
18T005032_S32	chr2:47641506-47641642	model	status	MSS	str
18T005032_S32	chr14:23652277-23652420	model	status	MSS	str
18T005032_S32	chr11:125490715-125490852	model	status	MSS	str
18T005032_S32	chr11:102193451-102193586	model	status	MSS	str
18T005032_S32	chr13:31722592-31722713	model	status	MSS	str
18T005032_S35	chr4:55598140-55598290	model	status	MSS	str
18T005032_S35	chr2:47641506-47641642	model	status	MSS	str
18T005032_S35	chr14:23652277-23652420	model	status	MSS	str
18T005032_S35	chr11:125490715-125490852	model	status	MSS	str
18T005032_S35	chr11:102193451-102193586	model	status	MSS	str
18T005032_S35	chr13:31722592-31722713	model	status	MSS	str
18T006615_S38	chr4:55598140-55598290	model	status	MSS	str
18T006615_S38	chr2:47641506-47641642	model	status	MSS	str
18T006615_S38	chr14:23652277-23652420	model	status	MSS	str
18T006615_S38	chr11:125490715-125490852	model	status	MSS	str
18T006615_S38	chr11:102193451-102193586	model	status	MSS	str
18T006615_S38	chr13:31722592-31722713	model	status	MSS	str
18T006615_S41	chr4:55598140-55598290	model	status	MSS	str
18T006615_S41	chr2:47641506-47641642	model	status	MSS	str
18T006615_S41	chr14:23652277-23652420	model	status	MSS	str
18T006615_S41	chr11:125490715-125490852	model	status	MSS	str
18T006615_S41	chr11:102193451-102193586	model	status	MSS	str
18T006615_S41	chr13:31722592-31722713	model	status	MSS	str
18T013288_S44	chr4:55598140-55598290	model	status	MSS	str
18T013288_S44	chr2:47641506-47641642	model	status	MSS	str
18T013288_S44	chr14:23652277-23652420	model	status	MSS	str
18T013288_S44	chr11:125490715-125490852	model	status	MSS	str
18T013288_S44	chr11:102193451-102193586	model	status	MSS	str
18T013288_S44	chr13:31722592-31722713	model	status	MSS	str
18T013288_S46	chr4:55598140-55598290	model	status	MSS	str
18T013288_S46	chr2:47641506-47641642	model	status	MSS	str
18T013288_S46	chr14:23652277-23652420	model	status	MSS	str
18T013288_S46	chr11:125490715-125490852	model	status	MSS	str
18T013288_S46	chr11:102193451-102193586	model	status	MSS	str
18T013288_S46	chr13:31722592-31722713	model	status	MSS	str
18T014133_S3	chr4:55598140-55598290	model	status	MSS	str
18T014133_S3	chr2:47641506-47641642	model	status	MSS	str
18T014133_S3	chr14:23652277-23652420	model	status	MSS	str
18T014133_S3	chr11:125490715-125490852	model	status	MSS	str
18T014133_S3	chr11:102193451-102193586	model	status	MSS	str
18T014133_S3	chr13:31722592-31722713	model	status	MSS	str
18T014133_S6	chr4:55598140-55598290	model	status	MSS	str
18T014133_S6	chr2:47641506-47641642	model	status	MSS	str
18T014133_S6	chr14:23652277-23652420	model	status	MSS	str
18T014133_S6	chr11:125490715-125490852	model	status	MSS	str
18T014133_S6	chr11:102193451-102193586	model	status	MSS	str
18T014133_S6	chr13:31722592-31722713	model	status	MSS	str
18T015733_S12	chr4:55598140-55598290	model	status	MSS	str
18T015733_S12	chr2:47641506-47641642	model	status	MSS	str
18T015733_S12	chr14:23652277-23652420	model	status	MSS	str
18T015733_S12	chr11:125490715-125490852	model	status	MSS	str
18T015733_S12	chr11:102193451-102193586	model	status	MSS	str
18T015733_S12	chr13:31722592-31722713	model	status	MSS	str
18T015733_S9	chr4:55598140-55598290	model	status	MSS	str
18T015733_S9	chr2:47641506-47641642	model	status	MSS	str
18T015733_S9	chr14:23652277-23652420	model	status	MSS	str
18T015733_S9	chr11:125490715-125490852	model	status	MSS	str
18T015733_S9	chr11:102193451-102193586	model	status	MSS	str
18T015733_S9	chr13:31722592-31722713	model	status	MSS	str
18T015860_S15	chr4:55598140-55598290	model	status	MSS	str
18T015860_S15	chr2:47641506-47641642	model	status	MSS	str
18T015860_S15	chr14:23652277-23652420	model	status	MSS	str
18T015860_S15	chr11:125490715-125490852	model	status	MSS	str
18T015860_S15	chr11:102193451-102193586	model	status	MSS	str
18T015860_S15	chr13:31722592-31722713	model	status	MSS	str
18T015860_S18	chr4:55598140-55598290	model	status	MSS	str
18T015860_S18	chr2:47641506-47641642	model	status	MSS	str
18T015860_S18	chr14:23652277-23652420	model	status	MSS	str
18T015860_S18	chr11:125490715-125490852	model	status	MSS	str
18T015860_S18	chr11:102193451-102193586	model	status	MSS	str
18T015860_S18	chr13:31722592-31722713	model	status	MSS	str
18T016750_S21	chr4:55598140-55598290	model	status	MSS	str
18T016750_S21	chr2:47641506-47641642	model	status	MSS	str
18T016750_S21	chr14:23652277-23652420	model	status	MSS	str
18T016750_S21	chr11:125490715-125490852	model	status	MSS	str
18T016750_S21	chr11:102193451-102193586	model	status	MSS	str
18T016750_S21	chr13:31722592-31722713	model	status	MSS	str
18T016750_S24	chr4:55598140-55598290	model	status	MSS	str
18T016750_S24	chr2:47641506-47641642	model	status	MSS	str
18T016750_S24	chr14:23652277-23652420	model	status	MSS	str
18T016750_S24	chr11:125490715-125490852	model	status	MSS	str
18T016750_S24	chr11:102193451-102193586	model	status	MSS	str
18T016750_S24	chr13:31722592-31722713	model	status	MSS	str
18T016765_S27	chr4:55598140-55598290	model	status	MSS	str
18T016765_S27	chr2:47641506-47641642	model	status	MSS	str
18T016765_S27	chr14:23652277-23652420	model	status	MSS	str
18T016765_S27	chr11:125490715-125490852	model	status	MSS	str
18T016765_S27	chr11:102193451-102193586	model	status	MSS	str
18T016765_S27	chr13:31722592-31722713	model	status	MSS	str
18T016765_S30	chr4:55598140-55598290	model	status	MSS	str
18T016765_S30	chr2:47641506-47641642	model	status	MSS	str
18T016765_S30	chr14:23652277-23652420	model	status	MSS	str
18T016765_S30	chr11:125490715-125490852	model	status	MSS	str
18T016765_S30	chr11:102193451-102193586	model	status	MSS	str
18T016765_S30	chr13:31722592-31722713	model	status	MSS	str
18T018410_S33	chr4:55598140-55598290	model	status	MSS	str
18T018410_S33	chr2:47641506-47641642	model	status	MSS	str
18T018410_S33	chr14:23652277-23652420	model	status	MSS	str
18T018410_S33	chr11:125490715-125490852	model	status	MSS	str
18T018410_S33	chr11:102193451-102193586	model	status	MSS	str
18T018410_S33	chr13:31722592-31722713	model	status	MSS	str
18T018410_S36	chr4:55598140-55598290	model	status	MSS	str
18T018410_S36	chr2:47641506-47641642	model	status	MSS	str
18T018410_S36	chr14:23652277-23652420	model	status	MSS	str
18T018410_S36	chr11:125490715-125490852	model	status	MSS	str
18T018410_S36	chr11:102193451-102193586	model	status	MSS	str
18T018410_S36	chr13:31722592-31722713	model	status	MSS	str
18T018837_S39	chr4:55598140-55598290	model	status	MSS	str
18T018837_S39	chr2:47641506-47641642	model	status	MSS	str
18T018837_S39	chr14:23652277-23652420	model	status	MSS	str
18T018837_S39	chr11:125490715-125490852	model	status	MSS	str
18T018837_S39	chr11:102193451-102193586	model	status	MSS	str
18T018837_S39	chr13:31722592-31722713	model	status	MSS	str
18T018837_S42	chr4:55598140-55598290	model	status	MSS	str
18T018837_S42	chr2:47641506-47641642	model	status	MSS	str
18T018837_S42	chr14:23652277-23652420	model	status	MSS	str
18T018837_S42	chr11:125490715-125490852	model	status	MSS	str
18T018837_S42	chr11:102193451-102193586	model	status	MSS	str
18T018837_S42	chr13:31722592-31722713	model	status	MSS	str
14T021524_S1	chr4:55598140-55598290	model	status	MSS	str
14T021524_S1	chr2:47641506-47641642	model	status	MSS	str
14T021524_S1	chr14:23652277-23652420	model	status	MSS	str
14T021524_S1	chr11:125490715-125490852	model	status	MSS	str
14T021524_S1	chr11:102193451-102193586	model	status	MSS	str
14T021524_S1	chr13:31722592-31722713	model	status	MSS	str
14T021524_S4	chr4:55598140-55598290	model	status	MSS	str
14T021524_S4	chr2:47641506-47641642	model	status	MSS	str
14T021524_S4	chr14:23652277-23652420	model	status	MSS	str
14T021524_S4	chr11:125490715-125490852	model	status	MSS	str
14T021524_S4	chr11:102193451-102193586	model	status	MSS	str
14T021524_S4	chr13:31722592-31722713	model	status	MSS	str
16T033237_S10	chr4:55598140-55598290	model	status	MSS	str
16T033237_S10	chr2:47641506-47641642	model	status	MSS	str
16T033237_S10	chr14:23652277-23652420	model	status	MSS	str
16T033237_S10	chr11:125490715-125490852	model	status	MSS	str
16T033237_S10	chr11:102193451-102193586	model	status	MSS	str
16T033237_S10	chr13:31722592-31722713	model	status	MSS	str
16T033237_S7	chr4:55598140-55598290	model	status	MSS	str
16T033237_S7	chr2:47641506-47641642	model	status	MSS	str
16T033237_S7	chr14:23652277-23652420	model	status	MSS	str
16T033237_S7	chr11:125490715-125490852	model	status	MSS	str
16T033237_S7	chr11:102193451-102193586	model	status	MSS	str
16T033237_S7	chr13:31722592-31722713	model	status	MSS	str
16T055038_S31	chr4:55598140-55598290	model	status	MSS	str
16T055038_S31	chr2:47641506-47641642	model	status	MSS	str
16T055038_S31	chr14:23652277-23652420	model	status	MSS	str
16T055038_S31	chr11:125490715-125490852	model	status	MSS	str
16T055038_S31	chr11:102193451-102193586	model	status	MSS	str
16T055038_S31	chr13:31722592-31722713	model	status	MSS	str
16T055038_S34	chr4:55598140-55598290	model	status	MSS	str
16T055038_S34	chr2:47641506-47641642	model	status	MSS	str
16T055038_S34	chr14:23652277-23652420	model	status	MSS	str
16T055038_S34	chr11:125490715-125490852	model	status	MSS	str
16T055038_S34	chr11:102193451-102193586	model	status	MSS	str
16T055038_S34	chr13:31722592-31722713	model	status	MSS	str
16t044240_S13	chr4:55598140-55598290	model	status	MSS	str
16t044240_S13	chr2:47641506-47641642	model	status	MSS	str
16t044240_S13	chr14:23652277-23652420	model	status	MSS	str
16t044240_S13	chr11:125490715-125490852	model	status	MSS	str
16t044240_S13	chr11:102193451-102193586	model	status	MSS	str
16t044240_S13	chr13:31722592-31722713	model	status	MSS	str
16t044240_S16	chr4:55598140-55598290	model	status	MSS	str
16t044240_S16	chr2:47641506-47641642	model	status	MSS	str
16t044240_S16	chr14:23652277-23652420	model	status	MSS	str
16t044240_S16	chr11:125490715-125490852	model	status	MSS	str
16t044240_S16	chr11:102193451-102193586	model	status	MSS	str
16t044240_S16	chr13:31722592-31722713	model	status	MSS	str
16t048128_S19	chr4:55598140-55598290	model	status	MSS	str
16t048128_S19	chr2:47641506-47641642	model	status	MSS	str
16t048128_S19	chr14:23652277-23652420	model	status	MSS	str
16t048128_S19	chr11:125490715-125490852	model	status	MSS	str
16t048128_S19	chr11:102193451-102193586	model	status	MSS	str
16t048128_S19	chr13:31722592-31722713	model	status	MSS	str
16t048128_S22	chr4:55598140-55598290	model	status	MSS	str
16t048128_S22	chr2:47641506-47641642	model	status	MSS	str
16t048128_S22	chr14:23652277-23652420	model	status	MSS	str
16t048128_S22	chr11:125490715-125490852	model	status	MSS	str
16t048128_S22	chr11:102193451-102193586	model	status	MSS	str
16t048128_S22	chr13:31722592-31722713	model	status	MSS	str
17T001179_S38	chr4:55598140-55598290	model	status	MSS	str
17T001179_S38	chr2:47641506-47641642	model	status	MSS	str
17T001179_S38	chr14:23652277-23652420	model	status	MSS	str
17T001179_S38	chr11:125490715-125490852	model	status	MSS	str
17T001179_S38	chr11:102193451-102193586	model	status	MSS	str
17T001179_S38	chr13:31722592-31722713	model	status	MSS	str
17T001179_S41	chr4:55598140-55598290	model	status	MSS	str
17T001179_S41	chr2:47641506-47641642	model	status	MSS	str
17T001179_S41	chr14:23652277-23652420	model	status	MSS	str
17T001179_S41	chr11:125490715-125490852	model	status	MSS	str
17T001179_S41	chr11:102193451-102193586	model	status	MSS	str
17T001179_S41	chr13:31722592-31722713	model	status	MSS	str
17T016844_S2	chr4:55598140-55598290	model	status	MSS	str
17T016844_S2	chr2:47641506-47641642	model	status	MSS	str
17T016844_S2	chr14:23652277-23652420	model	status	MSS	str
17T016844_S2	chr11:125490715-125490852	model	status	MSS	str
17T016844_S2	chr11:102193451-102193586	model	status	MSS	str
17T016844_S2	chr13:31722592-31722713	model	status	MSS	str
17T016844_S5	chr4:55598140-55598290	model	status	MSS	str
17T016844_S5	chr2:47641506-47641642	model	status	MSS	str
17T016844_S5	chr14:23652277-23652420	model	status	MSS	str
17T016844_S5	chr11:125490715-125490852	model	status	MSS	str
17T016844_S5	chr11:102193451-102193586	model	status	MSS	str
17T016844_S5	chr13:31722592-31722713	model	status	MSS	str
17T033792_S20	chr4:55598140-55598290	model	status	MSS	str
17T033792_S20	chr2:47641506-47641642	model	status	MSS	str
17T033792_S20	chr14:23652277-23652420	model	status	MSS	str
17T033792_S20	chr11:125490715-125490852	model	status	MSS	str
17T033792_S20	chr11:102193451-102193586	model	status	MSS	str
17T033792_S20	chr13:31722592-31722713	model	status	MSS	str
17T033792_S23	chr4:55598140-55598290	model	status	MSS	str
17T033792_S23	chr2:47641506-47641642	model	status	MSS	str
17T033792_S23	chr14:23652277-23652420	model	status	MSS	str
17T033792_S23	chr11:125490715-125490852	model	status	MSS	str
17T033792_S23	chr11:102193451-102193586	model	status	MSS	str
17T033792_S23	chr13:31722592-31722713	model	status	MSS	str
17T037960_S39	chr4:55598140-55598290	model	status	MSS	str
17T037960_S39	chr2:47641506-47641642	model	status	MSS	str
17T037960_S39	chr14:23652277-23652420	model	status	MSS	str
17T037960_S39	chr11:125490715-125490852	model	status	MSS	str
17T037960_S39	chr11:102193451-102193586	model	status	MSS	str
17T037960_S39	chr13:31722592-31722713	model	status	MSS	str
17T037960_S42	chr4:55598140-55598290	model	status	MSS	str
17T037960_S42	chr2:47641506-47641642	model	status	MSS	str
17T037960_S42	chr14:23652277-23652420	model	status	MSS	str
17T037960_S42	chr11:125490715-125490852	model	status	MSS	str
17T037960_S42	chr11:102193451-102193586	model	status	MSS	str
17T037960_S42	chr13:31722592-31722713	model	status	MSS	str
17T051594_S21	chr4:55598140-55598290	model	status	MSS	str
17T051594_S21	chr2:47641506-47641642	model	status	MSS	str
17T051594_S21	chr14:23652277-23652420	model	status	MSS	str
17T051594_S21	chr11:125490715-125490852	model	status	MSS	str
17T051594_S21	chr11:102193451-102193586	model	status	MSS	str
17T051594_S21	chr13:31722592-31722713	model	status	MSS	str
17T051594_S24	chr4:55598140-55598290	model	status	MSS	str
17T051594_S24	chr2:47641506-47641642	model	status	MSS	str
17T051594_S24	chr14:23652277-23652420	model	status	MSS	str
17T051594_S24	chr11:125490715-125490852	model	status	MSS	str
17T051594_S24	chr11:102193451-102193586	model	status	MSS	str
17T051594_S24	chr13:31722592-31722713	model	status	MSS	str
18T000794-1_S27	chr4:55598140-55598290	model	status	MSS	str
18T000794-1_S27	chr2:47641506-47641642	model	status	MSS	str
18T000794-1_S27	chr14:23652277-23652420	model	status	MSS	str
18T000794-1_S27	chr11:125490715-125490852	model	status	MSS	str
18T000794-1_S27	chr11:102193451-102193586	model	status	MSS	str
18T000794-1_S27	chr13:31722592-31722713	model	status	MSS	str
18T000794-1_S30	chr4:55598140-55598290	model	status	MSS	str
18T000794-1_S30	chr2:47641506-47641642	model	status	MSS	str
18T000794-1_S30	chr14:23652277-23652420	model	status	MSS	str
18T000794-1_S30	chr11:125490715-125490852	model	status	MSS	str
18T000794-1_S30	chr11:102193451-102193586	model	status	MSS	str
18T000794-1_S30	chr13:31722592-31722713	model	status	MSS	str
18T014170_S33	chr4:55598140-55598290	model	status	MSS	str
18T014170_S33	chr2:47641506-47641642	model	status	MSS	str
18T014170_S33	chr14:23652277-23652420	model	status	MSS	str
18T014170_S33	chr11:125490715-125490852	model	status	MSS	str
18T014170_S33	chr11:102193451-102193586	model	status	MSS	str
18T014170_S33	chr13:31722592-31722713	model	status	MSS	str
18T014170_S36	chr4:55598140-55598290	model	status	MSS	str
18T014170_S36	chr2:47641506-47641642	model	status	MSS	str
18T014170_S36	chr14:23652277-23652420	model	status	MSS	str
18T014170_S36	chr11:125490715-125490852	model	status	MSS	str
18T014170_S36	chr11:102193451-102193586	model	status	MSS	str
18T014170_S36	chr13:31722592-31722713	model	status	MSS	str
17T007153_S11	chr4:55598140-55598290	model	status	MSS	str
17T007153_S11	chr2:47641506-47641642	model	status	MSS	str
17T007153_S11	chr14:23652277-23652420	model	status	MSS	str
17T007153_S11	chr11:125490715-125490852	model	status	MSS	str
17T007153_S11	chr11:102193451-102193586	model	status	MSS	str
17T007153_S11	chr13:31722592-31722713	model	status	MSS	str
17T007153_S8	chr4:55598140-55598290	model	status	MSS	str
17T007153_S8	chr2:47641506-47641642	model	status	MSS	str
17T007153_S8	chr14:23652277-23652420	model	status	MSS	str
17T007153_S8	chr11:125490715-125490852	model	status	MSS	str
17T007153_S8	chr11:102193451-102193586	model	status	MSS	str
17T007153_S8	chr13:31722592-31722713	model	status	MSS	str
17T008199_S39	chr4:55598140-55598290	model	status	MSS	str
17T008199_S39	chr2:47641506-47641642	model	status	MSS	str
17T008199_S39	chr14:23652277-23652420	model	status	MSS	str
17T008199_S39	chr11:125490715-125490852	model	status	MSS	str
17T008199_S39	chr11:102193451-102193586	model	status	MSS	str
17T008199_S39	chr13:31722592-31722713	model	status	MSS	str
17T008199_S42	chr4:55598140-55598290	model	status	MSS	str
17T008199_S42	chr2:47641506-47641642	model	status	MSS	str
17T008199_S42	chr14:23652277-23652420	model	status	MSS	str
17T008199_S42	chr11:125490715-125490852	model	status	MSS	str
17T008199_S42	chr11:102193451-102193586	model	status	MSS	str
17T008199_S42	chr13:31722592-31722713	model	status	MSS	str
17T013870_S45	chr4:55598140-55598290	model	status	MSS	str
17T013870_S45	chr2:47641506-47641642	model	status	MSS	str
17T013870_S45	chr14:23652277-23652420	model	status	MSS	str
17T013870_S45	chr11:125490715-125490852	model	status	MSS	str
17T013870_S45	chr11:102193451-102193586	model	status	MSS	str
17T013870_S45	chr13:31722592-31722713	model	status	MSS	str
17T013870_S48	chr4:55598140-55598290	model	status	MSS	str
17T013870_S48	chr2:47641506-47641642	model	status	MSS	str
17T013870_S48	chr14:23652277-23652420	model	status	MSS	str
17T013870_S48	chr11:125490715-125490852	model	status	MSS	str
17T013870_S48	chr11:102193451-102193586	model	status	MSS	str
17T013870_S48	chr13:31722592-31722713	model	status	MSS	str
17T020358_S3	chr4:55598140-55598290	model	status	MSS	str
17T020358_S3	chr2:47641506-47641642	model	status	MSS	str
17T020358_S3	chr14:23652277-23652420	model	status	MSS	str
17T020358_S3	chr11:125490715-125490852	model	status	MSS	str
17T020358_S3	chr11:102193451-102193586	model	status	MSS	str
17T020358_S3	chr13:31722592-31722713	model	status	MSS	str
17T020358_S6	chr4:55598140-55598290	model	status	MSS	str
